0: 36
105: 141
image_size:	88x178
#sift count:	220

106: 142
image_size:	87x178
#sift count:	202

107: 143
image_size:	86x182
#sift count:	198

108: 144
image_size:	84x188
#sift count:	197

109: 145
image_size:	85x192
#sift count:	214

110: 146
image_size:	85x189
#sift count:	208

111: 147
image_size:	86x187
#sift count:	216

112: 148
image_size:	87x184
#sift count:	245

113: 149
image_size:	87x181
#sift count:	225

114: 150
image_size:	89x184
#sift count:	240

115: 151
image_size:	90x183
#sift count:	238

116: 152
image_size:	90x186
#sift count:	246

117: 153
image_size:	89x178
#sift count:	226

118: 154
image_size:	91x183
#sift count:	241

119: 155
image_size:	91x178
#sift count:	235

120: 156
image_size:	88x184
#sift count:	230

121: 157
image_size:	88x188
#sift count:	235

122: 158
image_size:	85x196
#sift count:	261

123: 159
image_size:	84x191
#sift count:	224

124: 160
image_size:	87x188
#sift count:	229

125: 161
image_size:	87x185
#sift count:	235

126: 162
image_size:	86x184
#sift count:	216

127: 163
image_size:	84x186
#sift count:	221

128: 164
image_size:	84x192
#sift count:	239

129: 165
image_size:	86x196
#sift count:	253

130: 166
image_size:	85x193
#sift count:	240

131: 167
image_size:	86x192
#sift count:	217

132: 168
image_size:	89x199
#sift count:	248

133: 169
image_size:	89x200
#sift count:	271

134: 170
image_size:	86x190
#sift count:	240

135: 171
image_size:	87x192
#sift count:	246

136: 172
image_size:	87x198
#sift count:	246

137: 173
image_size:	87x208
#sift count:	250

138: 174
image_size:	90x199
#sift count:	272

139: 175
image_size:	95x205
#sift count:	308

140: 176
image_size:	90x203
#sift count:	259

141: 177
image_size:	90x201
#sift count:	254

142: 178
image_size:	91x197
#sift count:	240

143: 179
image_size:	92x194
#sift count:	263

144: 180
image_size:	85x200
#sift count:	245

145: 181
image_size:	87x207
#sift count:	278

146: 182
image_size:	88x205
#sift count:	276

147: 183
image_size:	89x200
#sift count:	266

148: 184
image_size:	91x194
#sift count:	262

149: 185
image_size:	90x199
#sift count:	289

150: 186
image_size:	89x196
#sift count:	257

151: 187
image_size:	89x195
#sift count:	250

152: 188
image_size:	87x196
#sift count:	257

153: 189
image_size:	90x208
#sift count:	281

154: 190
image_size:	92x204
#sift count:	303

155: 191
image_size:	89x200
#sift count:	287

156: 192
image_size:	92x203
#sift count:	303

157: 193
image_size:	92x199
#sift count:	313

158: 194
image_size:	91x195
#sift count:	292

159: 195
image_size:	93x196
#sift count:	281

160: 196
image_size:	95x200
#sift count:	302

161: 197
image_size:	95x196
#sift count:	283

162: 198
image_size:	91x199
#sift count:	272

163: 199
image_size:	94x194
#sift count:	275

164: 200
image_size:	91x198
#sift count:	281

165: 201
image_size:	94x190
#sift count:	275

166: 202
image_size:	92x190
#sift count:	262

167: 203
image_size:	93x187
#sift count:	248

168: 204
image_size:	94x189
#sift count:	262

169: 205
image_size:	97x193
#sift count:	284

170: 206
image_size:	96x193
#sift count:	283

171: 207
image_size:	101x196
#sift count:	324

172: 208
image_size:	101x196
#sift count:	338

173: 209
image_size:	102x196
#sift count:	344

174: 210
image_size:	101x196
#sift count:	321

175: 211
image_size:	96x191
#sift count:	301

176: 212
image_size:	99x189
#sift count:	308

177: 213
image_size:	98x188
#sift count:	292

178: 214
image_size:	98x189
#sift count:	293

179: 215
image_size:	97x186
#sift count:	282

180: 216
image_size:	97x189
#sift count:	293

181: 217
image_size:	101x188
#sift count:	285

182: 218
image_size:	98x186
#sift count:	265

183: 219
image_size:	101x190
#sift count:	290

184: 220
image_size:	103x189
#sift count:	299

185: 221
image_size:	101x191
#sift count:	313

186: 222
image_size:	100x184
#sift count:	305

187: 223
image_size:	99x186
#sift count:	308

188: 224
image_size:	102x187
#sift count:	319

189: 225
image_size:	100x189
#sift count:	333

190: 226
image_size:	100x192
#sift count:	336

191: 227
image_size:	105x192
#sift count:	336

192: 228
image_size:	104x193
#sift count:	357

193: 229
image_size:	109x192
#sift count:	329

194: 230
image_size:	109x194
#sift count:	338

195: 231
image_size:	105x189
#sift count:	319

196: 232
image_size:	105x191
#sift count:	342

197: 233
image_size:	107x194
#sift count:	354

198: 234
image_size:	108x196
#sift count:	331

199: 235
image_size:	109x192
#sift count:	353

200: 236
image_size:	112x196
#sift count:	384

201: 237
image_size:	112x197
#sift count:	372

202: 238
image_size:	113x202
#sift count:	397

203: 239
image_size:	115x197
#sift count:	370

204: 240
image_size:	108x190
#sift count:	321

205: 241
image_size:	108x187
#sift count:	315

206: 242
image_size:	106x195
#sift count:	346

207: 243
image_size:	110x197
#sift count:	371

208: 244
image_size:	113x193
#sift count:	344

209: 245
image_size:	111x190
#sift count:	344

**************************************
Change the number of pixel-loaded images by 
modifying param_visual_data_budget in nv.ini
Use the PAUSE button to skip the pixel loading
**************************************
Loading image pixel data ...done in 1s

Compute Missing Pairwise Matching, begin...
0 pairs to compute match
----------------------------------------------------------------
Compute Missing Pairwise Matching, finished
Totally 0.000 seconds used


Compute Missing Pairwise Matching, begin...
0 pairs to compute match
----------------------------------------------------------------
Compute Missing Pairwise Matching, finished
Totally 0.000 seconds used


Compute Missing Pairwise Matching, begin...
0 pairs to compute match
----------------------------------------------------------------
Compute Missing Pairwise Matching, finished
Totally 0.000 seconds used


Run full 3D reconstruction, begin...
10264 pairs have two-view models
11317 pairs have fundamental matrices
Initialize with 220 and 238
59 3D points initialized from two images
PBA library version = 105
PBA: 59 3D pts, 2 cams and 118 projs...
PBA: 0.172 -> 0.116 (1 LMs in 0.03sec)
Focal Length : [226.800]->[225.723]
Focal Length : [242.400]->[247.308]

#############################
#3: [239] sees 101 (+202) 3D points
Estimated Focal Length [213][1.08N]
# 99 projs (18 pts and 0 merges)
PBA: 77 3D pts, 3 cams and 217 projs...
PBA: 0.501 -> 0.212 (1 LMs in 0.03sec)

**************************************
#3/3:  99 projs and 18 pts added.
PBA: 77 3D pts, 3 cams and 217 projs...
PBA: 0.212 -> 0.186 (1 LMs in 0.03sec)
PBA: 77 3D pts, 3 cams and 217 projs...
PBA: 0.186 -> 0.171 (1 LMs in 0.02sec)
Focal Length : [212.622]->[221.227]
Radial Distortion : [-0.531 -> -11]

#############################
#4: [236] sees 171 (+192) 3D points
Estimated Focal Length [248][1.27N]
# 125 projs (23 pts and 0 merges)
PBA: 100 3D pts, 4 cams and 342 projs...
PBA: 0.825 -> 0.171 (1 LMs in 0.03sec)
Focal Length : [248.011]->[236.543]
Radial Distortion : [-0.490 -> -9]

#############################
#5: [237] sees 269 (+243) 3D points
Estimated Focal Length [254][1.29N]
# 96 projs (5 pts and 0 merges)
PBA: 105 3D pts, 5 cams and 438 projs...
PBA: 0.500 -> 0.174 (1 LMs in 0.03sec)

**************************************
#5/5:  99 projs and 5 pts added.
PBA: 105 3D pts, 5 cams and 441 projs...
PBA: 0.173 -> 0.164 (1 LMs in 0.03sec)
#unstable points removed:	3
PBA: 102 3D pts, 5 cams and 429 projs...
PBA: 0.168 -> 0.162 (1 LMs in 0.03sec)
#unstable points removed:	1
Focal Length : [254.305]->[238.774]
Radial Distortion : [-0.636 -> -11]

#############################
#6: [221] sees 307 (+153) 3D points
Estimated Focal Length [280][1.46N]
# 169 projs (25 pts and 0 merges)
PBA: 126 3D pts, 6 cams and 596 projs...
PBA: 0.648 -> 0.193 (1 LMs in 0.03sec)
Focal Length : [279.761]->[264.987]
Radial Distortion : [-0.678 -> -9]

#############################
#7: [235] sees 402 (+149) 3D points
Estimated Focal Length [423][2.20N]
# 86 projs (0 pts and 0 merges)
PBA: 126 3D pts, 7 cams and 682 projs...
PBA: 0.996 -> 0.226 (2 LMs in 0.05sec)

**************************************
#7/7:  220 projs and 32 pts added.
PBA: 158 3D pts, 7 cams and 816 projs...
PBA: 0.843 -> 0.242 (3 LMs in 0.07sec)
#unstable points removed:	14
PBA: 144 3D pts, 7 cams and 771 projs...
PBA: 0.208 -> 0.195 (1 LMs in 0.03sec)
#unstable points removed:	3
Focal Length : [422.896]->[230.032]
Radial Distortion : [-1.331 -> -23]

#############################
#8: [234] sees 517 (+156) 3D points
Estimated Focal Length [869][4.43N]
# 103 projs (0 pts and 0 merges)
PBA: 141 3D pts, 8 cams and 860 projs...
PBA: 1.701 -> 0.237 (4 LMs in 0.12sec)
Focal Length : [868.545]->[472.911]
Radial Distortion : [-4.823 -> -21]

#############################
#9: [233] sees 594 (+172) 3D points
Estimated Focal Length [1116][5.75N]
# 101 projs (0 pts and 0 merges)
PBA: 141 3D pts, 9 cams and 961 projs...
PBA: 3.028 -> 0.247 (6 LMs in 0.15sec)

**************************************
#9/9:  498 projs and 90 pts added.
PBA: 227 3D pts, 9 cams and 1358 projs...
PBA: 0.621 -> 0.247 (3 LMs in 0.11sec)
#unstable points removed:	1
PBA: 226 3D pts, 9 cams and 1354 projs...
PBA: 0.247 -> 0.239 (1 LMs in 0.03sec)
#unstable points removed:	1
Focal Length : [1116.079]->[393.824]
Radial Distortion : [-2.938 -> -18]

#############################
#10: [232] sees 884 (+117) 3D points
Estimated Focal Length [916][4.79N]
# 162 projs (0 pts and 0 merges)
PBA: 224 3D pts, 10 cams and 1510 projs...
PBA: 1.805 -> 0.252 (46 LMs in 1.41sec)
#points w/ large errors:	1
#unstable points removed:	3
Focal Length : [915.586]->[856.298]
Radial Distortion : [-8.071 -> -10]

#############################
#11: [231] sees 916 (+127) 3D points
Estimated Focal Length [614][3.25N]
# 335 projs (48 pts and 3 merges)
PBA: 265 3D pts, 11 cams and 1831 projs...
PBA: 0.878 -> 0.264 (23 LMs in 0.67sec)
#unstable points removed:	2
Focal Length : [613.676]->[734.368]
Radial Distortion : [-6.910 -> -11]

#############################
#12: [240] sees 1012 (+113) 3D points
Estimated Focal Length [381][2.00N]
# 160 projs (0 pts and 0 merges)
PBA: 263 3D pts, 12 cams and 1987 projs...
PBA: 1.138 -> 0.282 (31 LMs in 0.88sec)
#unstable points removed:	3

**************************************
#12/12:  264 projs and 29 pts added.
PBA: 288 3D pts, 12 cams and 2081 projs...
PBA: 0.306 -> 0.287 (23 LMs in 0.66sec)
PBA: 288 3D pts, 12 cams and 2081 projs...
PBA: 0.287 -> 0.287 (6 LMs in 0.13sec)
Focal Length : [380.532]->[893.305]
Radial Distortion : [-8.932 -> -10]

#############################
#13: [241] sees 1121 (+108) 3D points
Estimated Focal Length [217][1.16N]
# 161 projs (0 pts and 0 merges)
PBA: 288 3D pts, 13 cams and 2242 projs...
PBA: 1.252 -> 0.313 (19 LMs in 0.50sec)
Focal Length : [216.765]->[765.700]
Radial Distortion : [-7.158 -> -10]

#############################
#14: [242] sees 1222 (+122) 3D points
Estimated Focal Length [581][2.98N]
# 172 projs (0 pts and 0 merges)
PBA: 287 3D pts, 14 cams and 2412 projs...
PBA: 1.096 -> 0.329 (31 LMs in 0.93sec)
#unstable points removed:	1
Focal Length : [581.216]->[802.831]
Radial Distortion : [-8.596 -> -13]

#############################
#15: [243] sees 1274 (+137) 3D points
Estimated Focal Length [842][4.27N]
# 161 projs (0 pts and 0 merges)
PBA: 286 3D pts, 15 cams and 2568 projs...
PBA: 0.958 -> 0.373 (21 LMs in 0.59sec)
#unstable points removed:	1
Focal Length : [841.832]->[681.755]
Radial Distortion : [-7.817 -> -16]

#############################
#16: [244] sees 1348 (+119) 3D points
Estimated Focal Length [1905][9.87N]
# 164 projs (0 pts and 0 merges)
PBA: 285 3D pts, 16 cams and 2729 projs...
PBA: 1.437 -> 0.396 (27 LMs in 1.46sec)
#unstable points removed:	5

**************************************
#16/16:  397 projs and 51 pts added.
PBA: 325 3D pts, 16 cams and 2944 projs...
PBA: 0.531 -> 0.428 (25 LMs in 1.45sec)
PBA: 325 3D pts, 16 cams and 2944 projs...
PBA: 0.428 -> 0.428 (6 LMs in 0.24sec)
Focal Length : [1905.164]->[573.631]
Radial Distortion : [-6.944 -> -19]

#############################
#17: [245] sees 1593 (+107) 3D points
Estimated Focal Length [771][4.06N]
# 188 projs (0 pts and 0 merges)
PBA: 324 3D pts, 17 cams and 3130 projs...
PBA: 3.200 -> 0.453 (29 LMs in 1.53sec)
#unstable points removed:	1
Focal Length : [771.205]->[608.937]
Radial Distortion : [-8.151 -> -19]

#############################
#18: [219] sees 1033 (+115) 3D points
Estimated Focal Length [281][1.48N]
# 135 projs (0 pts and 0 merges)
PBA: 323 3D pts, 18 cams and 3263 projs...
PBA: 1.963 -> 0.482 (35 LMs in 2.11sec)
#unstable points removed:	1
Focal Length : [280.847]->[813.188]
Radial Distortion : [-15.443 -> -21]

#############################
#19: [222] sees 1315 (+108) 3D points
Estimated Focal Length [834][4.53N]
# 152 projs (0 pts and 0 merges)
PBA: 322 3D pts, 19 cams and 3409 projs...
PBA: 1.295 -> 0.506 (31 LMs in 1.88sec)
Focal Length : [833.784]->[1030.744]
Radial Distortion : [-23.220 -> -18]

#############################
#20: [230] sees 1774 (+88) 3D points
Estimated Focal Length [893][4.60N]
# 181 projs (0 pts and 0 merges)
PBA: 322 3D pts, 20 cams and 3590 projs...
PBA: 2.263 -> 0.518 (23 LMs in 1.32sec)
#unstable points removed:	1
Focal Length : [892.889]->[682.845]
Radial Distortion : [-10.430 -> -21]

#############################
#21: [229] sees 1856 (+100) 3D points
Estimated Focal Length [1083][5.64N]
# 175 projs (0 pts and 0 merges)
SKIP: 0 cams, 6 points, 2 projs
PBA: 321 3D pts, 20 cams and 3763 projs...
PBA: 2.720 -> 0.537 (5 LMs in 0.25sec)

**************************************
#21/21:  267 projs and 12 pts added.
PBA: 333 3D pts, 21 cams and 3855 projs...
PBA: 0.546 -> 0.540 (16 LMs in 1.17sec)
#unstable points removed:	1
PBA: 332 3D pts, 21 cams and 3850 projs...
PBA: 0.540 -> 0.540 (9 LMs in 0.50sec)
Focal Length : [1082.905]->[711.387]
Radial Distortion : [-11.579 -> -21]

#############################
#22: [228] sees 2030 (+114) 3D points
Estimated Focal Length [1479][7.66N]
# 195 projs (0 pts and 0 merges)
SKIP: 0 cams, 2 points, 0 projs
PBA: 332 3D pts, 20 cams and 4045 projs...
PBA: 1.791 -> 0.607 (5 LMs in 0.26sec)
#points w/ large errors:	1
#unstable points removed:	1
Focal Length : [1478.694]->[676.358]
Radial Distortion : [-10.542 -> -21]

#############################
#23: [227] sees 1887 (+123) 3D points
Estimated Focal Length [509][2.65N]
# 159 projs (0 pts and 0 merges)
SKIP: 0 cams, 4 points, 22 projs
PBA: 330 3D pts, 20 cams and 4182 projs...
PBA: 2.573 -> 0.638 (5 LMs in 0.22sec)
Focal Length : [509.019]->[629.334]
Radial Distortion : [-9.413 -> -22]

#############################
#24: [226] sees 1989 (+117) 3D points
Estimated Focal Length [652][3.40N]
# 181 projs (0 pts and 0 merges)
SKIP: 0 cams, 4 points, 0 projs
PBA: 330 3D pts, 20 cams and 4363 projs...
PBA: 1.935 -> 0.681 (5 LMs in 0.23sec)
Focal Length : [651.894]->[789.154]
Radial Distortion : [-13.628 -> -20]

#############################
#25: [225] sees 1913 (+120) 3D points
Estimated Focal Length [691][3.65N]
# 157 projs (0 pts and 0 merges)
SKIP: 0 cams, 4 points, 0 projs
PBA: 330 3D pts, 20 cams and 4520 projs...
PBA: 1.951 -> 0.691 (5 LMs in 0.23sec)
#points w/ large errors:	3
Focal Length : [690.657]->[780.987]
Radial Distortion : [-13.270 -> -19]

#############################
#26: [224] sees 1962 (+116) 3D points
Estimated Focal Length [894][4.78N]
# 163 projs (0 pts and 0 merges)
PBA: 327 3D pts, 26 cams and 4631 projs...
PBA: 2.407 -> 0.617 (58 LMs in 4.06sec)
Focal Length : [894.239]->[1397.627]
Radial Distortion : [-38.662 -> -16]

#############################
#27: [223] sees 2006 (+129) 3D points
Estimated Focal Length [964][5.19N]
# 149 projs (0 pts and 0 merges)
SKIP: 0 cams, 7 points, 0 projs
PBA: 327 3D pts, 20 cams and 4780 projs...
PBA: 1.136 -> 0.635 (5 LMs in 0.23sec)

**************************************
#27/27:  208 projs and 4 pts added.
PBA: 331 3D pts, 27 cams and 4839 projs...
PBA: 0.719 -> 0.700 (35 LMs in 3.31sec)
#points w/ large errors:	1
PBA: 330 3D pts, 27 cams and 4824 projs...
PBA: 0.674 -> 0.666 (31 LMs in 2.87sec)
Focal Length : [964.497]->[1087.718]
Radial Distortion : [-24.149 -> -17]

#############################
#28: [218] sees 1825 (+94) 3D points
Estimated Focal Length [538][2.89N]
# 142 projs (0 pts and 0 merges)
SKIP: 0 cams, 4 points, 0 projs
PBA: 330 3D pts, 20 cams and 4966 projs...
PBA: 1.515 -> 0.681 (5 LMs in 0.22sec)
#points w/ large errors:	1
Focal Length : [538.237]->[1378.217]
Radial Distortion : [-39.084 -> -17]

#############################
#29: [217] sees 1800 (+100) 3D points
Estimated Focal Length [1783][9.48N]
# 135 projs (0 pts and 0 merges)
SKIP: 0 cams, 6 points, 28 projs
PBA: 328 3D pts, 20 cams and 5073 projs...
PBA: 1.240 -> 0.630 (5 LMs in 0.22sec)
Focal Length : [1782.657]->[1905.801]
Radial Distortion : [-74.906 -> -18]

#############################
#30: [216] sees 1984 (+105) 3D points
Estimated Focal Length [1453][7.69N]
# 146 projs (0 pts and 0 merges)
SKIP: 0 cams, 8 points, 9 projs
PBA: 326 3D pts, 20 cams and 5213 projs...
PBA: 1.038 -> 0.644 (5 LMs in 0.24sec)
Focal Length : [1453.394]->[1395.142]
Radial Distortion : [-40.713 -> -18]

#############################
#31: [215] sees 1932 (+100) 3D points
Estimated Focal Length [1044][5.61N]
# 147 projs (0 pts and 0 merges)
SKIP: 0 cams, 13 points, 31 projs
PBA: 321 3D pts, 20 cams and 5338 projs...
PBA: 1.704 -> 0.755 (5 LMs in 0.22sec)
Focal Length : [1043.867]->[2001.999]
Radial Distortion : [-87.652 -> -18]

#############################
#32: [214] sees 2080 (+112) 3D points
Estimated Focal Length [1678][8.88N]
# 139 projs (0 pts and 0 merges)
PBA: 329 3D pts, 32 cams and 5508 projs...
PBA: 1.741 -> 0.739 (43 LMs in 3.87sec)
#points w/ large errors:	1
Focal Length : [1678.037]->[1297.127]
Radial Distortion : [-47.392 -> -24]

#############################
#33: [212] sees 2037 (+112) 3D points
Estimated Focal Length [982][5.20N]
# 127 projs (0 pts and 0 merges)
SKIP: 0 cams, 16 points, 55 projs
PBA: 318 3D pts, 20 cams and 5580 projs...
PBA: 2.047 -> 0.690 (5 LMs in 0.23sec)
#points w/ large errors:	1
Focal Length : [982.385]->[1374.922]
Radial Distortion : [-52.707 -> -24]

#############################
#34: [213] sees 2150 (+117) 3D points
Estimated Focal Length [1335][7.10N]
# 121 projs (0 pts and 0 merges)
SKIP: 0 cams, 22 points, 79 projs
PBA: 312 3D pts, 20 cams and 5661 projs...
PBA: 1.894 -> 0.664 (5 LMs in 0.22sec)

**************************************
#34/34:  277 projs and 26 pts added.
PBA: 350 3D pts, 34 cams and 5876 projs...
PBA: 0.663 -> 0.646 (50 LMs in 4.84sec)
#unstable points removed:	1
PBA: 349 3D pts, 34 cams and 5871 projs...
PBA: 0.647 -> 0.647 (9 LMs in 0.77sec)
Focal Length : [1334.660]->[1486.261]
Radial Distortion : [-46.513 -> -18]

#############################
#35: [211] sees 2291 (+98) 3D points
Estimated Focal Length [344][1.80N]
# 191 projs (0 pts and 0 merges)
SKIP: 0 cams, 23 points, 70 projs
PBA: 329 3D pts, 20 cams and 5990 projs...
PBA: 1.301 -> 0.660 (5 LMs in 0.20sec)
#points w/ large errors:	1
Focal Length : [344.262]->[1138.378]
Radial Distortion : [-27.354 -> -19]

#############################
#36: [209] sees 2173 (+99) 3D points
Estimated Focal Length [685][3.49N]
# 152 projs (0 pts and 0 merges)
SKIP: 0 cams, 35 points, 148 projs
PBA: 318 3D pts, 20 cams and 6066 projs...
PBA: 1.569 -> 0.679 (5 LMs in 0.21sec)
Focal Length : [684.870]->[1450.942]
Radial Distortion : [-45.835 -> -21]

#############################
#37: [210] sees 2323 (+134) 3D points
Estimated Focal Length [691][3.53N]
# 152 projs (0 pts and 0 merges)
SKIP: 0 cams, 49 points, 265 projs
PBA: 304 3D pts, 20 cams and 6099 projs...
PBA: 1.665 -> 0.700 (5 LMs in 0.21sec)
Focal Length : [691.263]->[1265.346]
Radial Distortion : [-34.782 -> -21]

#############################
#38: [208] sees 2496 (+120) 3D points
Estimated Focal Length [744][3.80N]
# 165 projs (0 pts and 0 merges)
SKIP: 0 cams, 48 points, 254 projs
PBA: 305 3D pts, 20 cams and 6275 projs...
PBA: 1.160 -> 0.725 (5 LMs in 0.20sec)
#points w/ large errors:	1
Focal Length : [743.823]->[1461.811]
Radial Distortion : [-47.303 -> -21]

#############################
#39: [207] sees 2411 (+124) 3D points
Estimated Focal Length [1179][6.01N]
# 153 projs (0 pts and 0 merges)
PBA: 347 3D pts, 39 cams and 6652 projs...
PBA: 1.002 -> 0.715 (74 LMs in 6.66sec)
#unstable points removed:	6
ERROR: images #172 has bad focal lengths
Focal Length : [1178.763]->[2324.996]
Radial Distortion : [-118.957 -> -21]

#############################
#39: [206] sees 2354 (+98) 3D points
Estimated Focal Length [559][2.90N]
# 136 projs (0 pts and 0 merges)
SKIP: 0 cams, 49 points, 413 projs
PBA: 304 3D pts, 20 cams and 6375 projs...
PBA: 1.167 -> 0.733 (5 LMs in 0.21sec)
#points w/ large errors:	1
Focal Length : [559.048]->[1640.038]
Radial Distortion : [-58.609 -> -20]

#############################
#40: [205] sees 2349 (+110) 3D points
Estimated Focal Length [453][2.35N]
# 132 projs (0 pts and 1 merges)
SKIP: 0 cams, 61 points, 337 projs
PBA: 292 3D pts, 20 cams and 6398 projs...
PBA: 1.913 -> 0.746 (5 LMs in 0.20sec)
Focal Length : [453.097]->[1283.234]
Radial Distortion : [-35.815 -> -20]

#############################
#41: [204] sees 2257 (+85) 3D points
Estimated Focal Length [673][3.56N]
# 138 projs (0 pts and 0 merges)
SKIP: 0 cams, 70 points, 403 projs
PBA: 283 3D pts, 20 cams and 6456 projs...
PBA: 1.207 -> 0.762 (5 LMs in 0.22sec)
Focal Length : [672.704]->[1816.417]
Radial Distortion : [-72.381 -> -19]

#############################
#42: [203] sees 2266 (+89) 3D points
Estimated Focal Length [1291][6.91N]
# 120 projs (0 pts and 0 merges)
SKIP: 0 cams, 76 points, 457 projs
PBA: 277 3D pts, 20 cams and 6522 projs...
PBA: 1.024 -> 0.764 (5 LMs in 0.20sec)
Focal Length : [1291.276]->[2133.142]
Radial Distortion : [-98.388 -> -18]

#############################
#43: [202] sees 2408 (+92) 3D points
Estimated Focal Length [1712][9.01N]
# 134 projs (0 pts and 0 merges)
SKIP: 0 cams, 83 points, 534 projs
PBA: 270 3D pts, 20 cams and 6579 projs...
PBA: 1.061 -> 0.776 (5 LMs in 0.20sec)

**************************************
